timestamp	step	auc
1653362740957	0	0.9635617733001709
1653362748628	1	0.9864341020584106
1653362756768	2	0.9903143644332886
1653362764827	3	0.9920409321784973
1653362773547	4	0.9930693507194519
1653362781115	5	0.9936586618423462
1653362788926	6	0.994135856628418
1653362796556	7	0.9944523572921753
1653362804287	8	0.9946939945220947
1653362812057	9	0.9949203133583069
1653362819877	10	0.9951035380363464
1653362827923	11	0.9951934814453125
1653362835755	12	0.9953150749206543
1653362843692	13	0.9954360127449036
1653362851445	14	0.9955877065658569
1653362859304	15	0.995613694190979
1653362867066	16	0.9957231879234314
1653362874784	17	0.9957390427589417
1653362882495	18	0.9958428144454956
1653362890182	19	0.9959186911582947
1653362897854	20	0.9959197640419006
1653362905447	21	0.9959611296653748
1653362912898	22	0.9960854649543762
1653362920426	23	0.9960525631904602
1653362928205	24	0.996150553226471
1653362936033	25	0.99617600440979
1653362943598	26	0.9962432384490967
1653362951712	27	0.9962912201881409
1653362959445	28	0.9962679147720337
1653362966955	29	0.996387779712677
1653362974775	30	0.9963488578796387
1653362982457	31	0.9963339567184448
1653362990170	32	0.9963862299919128
1653362997849	33	0.9965140223503113
1653363005558	34	0.9964656829833984
1653363013324	35	0.9965512752532959
1653363021071	36	0.9965625405311584
1653363028791	37	0.9965710043907166
1653363036627	38	0.9965986013412476
1653363044285	39	0.9966113567352295
1653363052086	40	0.9965925812721252
1653363059877	41	0.9966925382614136
1653363067583	42	0.9967008233070374
1653363075452	43	0.9967672824859619
1653363083303	44	0.996767520904541
1653363091721	45	0.9968005418777466
1653363100684	46	0.9968439340591431
1653363108938	47	0.9969009160995483
1653363117581	48	0.9968840479850769
1653363125687	49	0.996924877166748
1653363133722	50	0.9969701766967773
1653363142273	51	0.9969923496246338
1653363150693	52	0.996971607208252
1653363159278	53	0.9970249533653259
1653363167672	54	0.9971097111701965
1653363176007	55	0.9971058368682861
1653363184490	56	0.997125506401062
1653363192898	57	0.9970691800117493
1653363201673	58	0.9971980452537537
1653363209951	59	0.9972434043884277
1653363218270	60	0.9972413778305054
1653363226527	61	0.9972624778747559
1653363234945	62	0.9972770810127258
1653363243248	63	0.9973005056381226
1653363251507	64	0.9973006248474121
1653363259788	65	0.997349739074707
1653363268143	66	0.997398316860199
1653363276458	67	0.9974582195281982
1653363284890	68	0.9974219799041748
1653363293259	69	0.9974778890609741
1653363301829	70	0.9974727630615234
1653363310032	71	0.9974865317344666
1653363318600	72	0.997596800327301
1653363328140	73	0.9975661635398865
1653363336585	74	0.997577965259552
1653363345307	75	0.9976367950439453
1653363353918	76	0.9976293444633484
1653363362402	77	0.9976865649223328
1653363370929	78	0.997700035572052
1653363379781	79	0.9977161884307861
1653363388517	80	0.9977129697799683
1653363397121	81	0.9977190494537354
1653363406227	82	0.9977033734321594
1653363415231	83	0.9977648854255676
1653363423564	84	0.997852623462677
1653363432339	85	0.9977985620498657
1653363441462	86	0.9978386163711548
1653363450465	87	0.9978468418121338
1653363458952	88	0.9978481531143188
1653363467480	89	0.9978941082954407
1653363476213	90	0.997914731502533
1653363484766	91	0.9979123473167419
1653363493296	92	0.9978792667388916
1653363501965	93	0.9978823065757751
1653363510732	94	0.9979383945465088
1653363519346	95	0.9979124665260315
1653363527756	96	0.9979314804077148
1653363536183	97	0.9979314208030701
1653363544838	98	0.9979579448699951
1653363553541	99	0.9979516267776489
