timestamp	step	loss
1653274120210	0	0.6676841974258423
1653274126426	1	0.3920014500617981
1653274132350	2	0.32014864683151245
1653274138249	3	0.2730676531791687
1653274144031	4	0.2130802720785141
1653274149752	5	0.17083320021629333
1653274155446	6	0.15504702925682068
1653274160920	7	0.13859762251377106
1653274166731	8	0.12871181964874268
1653274172435	9	0.1223682165145874
1653274178268	10	0.11643623560667038
1653274183725	11	0.11006978154182434
1653274189310	12	0.10633961856365204
1653274194769	13	0.10658176243305206
1653274200144	14	0.10261809080839157
1653274205517	15	0.09913448244333267
1653274210979	16	0.0966724082827568
1653274216239	17	0.09475355595350266
1653274221718	18	0.0956026241183281
1653274227250	19	0.09190785884857178
1653274232509	20	0.09111108630895615
1653274237897	21	0.08949719369411469
1653274243235	22	0.09212636947631836
1653274248667	23	0.0867459774017334
1653274253982	24	0.08735591918230057
1653274259236	25	0.08456582576036453
1653274264534	26	0.08536020666360855
1653274269850	27	0.083769291639328
1653274275242	28	0.08737676590681076
1653274280557	29	0.08151546865701675
1653274285844	30	0.0872451514005661
1653274291106	31	0.08093788474798203
1653274296397	32	0.08048196882009506
1653274302012	33	0.08148855715990067
1653274307452	34	0.08275840431451797
1653274312839	35	0.08044376224279404
1653274318302	36	0.07868696004152298
1653274323707	37	0.07848404347896576
1653274329144	38	0.08088163286447525
1653274334483	39	0.07872709631919861
